7dec2018-hse-f	correction	посетители!	Visitors!	Russian
7dec2018-hse-f	reply	здесь по определению все "посетители" дамы (девушки / женщины / особи женского пола)↓?	All visitors (girls / women / females) here are ladies by definition.	Russian
7dec2018-hse-f		здесь могла бы быть ваша гендерная нейтральность	Your gender neutrality could have been here.	Russian
7dec2018-hse-f	reply	но в какой же туалет идти квир-персоне?	But which restroom should a queer person choose?	Russian
7dec2018-hse-f	reply	зачем гендерная нейтральность в исключительно женском пространстве?	Why do you need gender neutrality in a purely female space?	Russian
7dec2018-hse-f	reply	НЕ ВСЕ особи женского пола цисгендерны, алло!	Not all females are cisgender, hello!	Russian
7dec2018-hse-f	reply	биология важнее ваших чувств	Biology is more important than your feelings.	Russian
7dec2018-hse-f	reply	Вы сошли с ума!	You all are crazy!	Russian
7dec2018-hse-f	reply	Vive, Queer Splendor!		English
7dec2018-hse-f	reply	"Женщина" и "мужчина" - биологические понятия, определяемые НАБОРОМ РЕПРОДУКТИВНЫХ ОРГАНОВ, а НЕ соответствием сексистским стереотипам	"Female" and "male" are biological notions defined by your reproductive organs, not by sexist stereotypes.	Russian
IMG_20190129_113309		кто хочет в академию ФСБ	Who wants to the FSB academy?	Russian
IMG_20190129_113309	verse	пусть меня задавит танк\nвсе равно я буду ПАНК	Let a tank go over me,\nI'll still be a punk.	Russian
IMG_20190129_113309	verse	панки живы\nпанки жили\nпанки хуй на всех ложили	Punks are alive,\npunks have lived,\npunks fucked you all.	Russian
IMG_20190129_113313		соси хуй	Suck dick.	Russian
IMG_20190129_113313		ты мудак	You are an asshole.	Russian
IMG_20190129_113318		кто хочет в Академию ФСБ	Who wants to the FSB academy?	Russian
IMG_20190129_113318		могу дать телефон	I can give you the number.	Russian
IMG_20190129_113340		[оук 5] необратим	[...] is irreversible.	Russian
IMG_20190129_113349		ебать спартак!	Fuck Spartak!	Russian
IMG_20190129_113349	correction	ЦСКА	CSKA	Russian
IMG_20190129_113349		ogame live!!!		English
IMG_20190129_113349		Вы ведь в курсе, что бога нет, правда?	You know there is no god, right?	Russian
IMG_20190129_113349	reply	и сказал безумец: нет Бога!	And the fool says: "There is no God."	Russian
IMG_20190129_113349		туки хуй	[tuki] is a dick	Russian
IMG_20190129_113349		ебать геофак!	Fuck the geology department!	Russian
IMG_20190129_113349	reply	и геологов	And the geologists.	Russian
IMG_20190129_113349		будешь на земле - заходи	Come over when you're on Earth.	Russian
IMG_20190129_113349	reply	зайду	I will [come over].	Russian
IMG_20190129_113353		зри в корь дука$\nтаганка	Look in the root [duka$]\nTaganka	Russian
IMG_20190129_113353		УЧУСЬ ... ВУЗ, вроде на уровне ... ебать\nНа пары ходить не впадлу.\nЭто не может не радовать\n[нрзб]	I'm studying ... the university seems to be good enough ... fuck\nVisiting lectures is not boring.\nThis is reassuring.\n[...]	Russian
IMG_20190129_113353	verse	среди поэтов вы говно\nсреди говна - поэты	You are shit among the poets,\nBut poets among the shit.	Russian
IMG_20190129_113358		FUCKIN' NIKEI		English
IMG_20190129_113358		ॐ	ॐ	Other
IMG_20190129_113358		ЕБУЧЕ!	Fucking	Russian
IMG_20190129_113358		ты сын своего сына	You are a son of your son.	Russian
IMG_20190129_113358	verse	Я ебу Али-Бабу!	I fuck Ali Baba.	Russian
IMG_20190129_113358		Посмотри направо...	Look right...	Russian
IMG_20190129_113426		Я заебался дуть.	I'm fucking tired of smoking weed.	Russian
IMG_20190129_113426	reply	+1↑		Russian
IMG_20190129_113426	reply	+2↑		Russian
IMG_20190129_113426		RABINOVICH		Russian
IMG_20190129_113426	verse	Неизданное\nЯ вас вертел, и знаете, быть может,\nЯ довертел вас всех еще не до конца\nЯ клал на вас хуец (и на таможню),\nGuF рип, я жив, вам всем воцап!\nSкилл	Unpublished\nI fucked you guys, and you know, maybe\nI haven't fucked you all till the end.\nI don't give a shit about you guys (and the customs),\nGuf RIP, I'm alive, WhatsApp to everybody!\nSkill	Russian
IMG_20190129_113426		Здесь умер Гуф	Guf died here.	Russian
IMG_20190129_113426		Алтарь Прямой Кишки	Altar of the rectum	Russian
IMG_20190129_113426		Потомки, это послание вам!\nСегодня 19 марта 2018 года.\nПутин остался на 4ый срок...\nНадеюсь, в вашем времени его уже нет, а вы живёте в свободном обществе!\nПростите нас, помните нас	Descendants, this is a message for you!\nToday is March 19th, 2018.\nPutin is staying for his 4th term...\nI hope he does not exist in your time, and you guys live in a free society!\nForgive us and remember us.	Russian
